Level,Diamond,Onyx,Emerald,Ruby,Sapphire,type,pv
1,0,3,0,0,0,Diamond,0
1,0,0,0,2,1,Diamond,0
1,0,1,1,1,1,Diamond,0
1,0,2,0,0,2,Diamond,0
1,0,0,4,0,0,Diamond,1
1,0,1,2,1,1,Diamond,0
1,0,2,2,0,1,Diamond,0
1,3,1,0,0,1,Diamond,0
1,1,0,0,0,2,Onyx,0
1,0,0,0,0,3,Onyx,0
1,1,0,1,1,1,Onyx,0
1,0,0,2,0,2,Onyx,0
1,0,0,0,4,0,Onyx,1
1,1,0,1,2,1,Onyx,0
1,1,0,2,2,0,Onyx,0
1,0,1,3,1,0,Onyx,0
1,2,1,0,0,0,Emerald,0
1,0,0,0,3,0,Emerald,0
1,1,1,0,1,1,Emerald,0
1,0,2,0,2,0,Emerald,0
1,0,0,0,0,4,Emerald,1
1,1,1,0,1,2,Emerald,0
1,0,1,0,2,2,Emerald,0
1,1,3,1,0,0,Emerald,0
1,0,2,1,0,0,Ruby,0
1,3,0,0,0,0,Ruby,0
1,1,1,1,0,1,Ruby,0
1,2,0,0,2,0,Ruby,0
1,4,0,0,0,0,Ruby,1
1,2,1,1,0,1,Ruby,0
1,2,0,1,0,2,Ruby,0
1,1,0,0,1,3,Ruby,0
1,0,0,2,1,0,Sapphire,0
1,0,0,3,0,0,Sapphire,0
1,1,1,1,1,0,Sapphire,0
1,2,0,2,0,0,Sapphire,0
1,0,4,0,0,0,Sapphire,1
1,1,2,1,1,0,Sapphire,0
1,2,2,0,1,0,Sapphire,0
1,0,0,1,3,1,Sapphire,0
2,0,0,0,5,0,Diamond,2
2,6,0,0,0,0,Diamond,3
2,0,0,3,2,2,Diamond,1
2,0,0,1,4,2,Diamond,2
2,2,3,0,3,0,Diamond,1
2,0,0,0,5,3,Diamond,2
2,0,5,0,0,0,Onyx,2
2,0,6,0,0,0,Onyx,3
2,0,2,2,3,0,Onyx,1
2,2,0,0,1,4,Onyx,2
2,0,2,3,0,3,Onyx,1
2,5,3,0,0,0,Onyx,2
2,0,0,5,0,0,Emerald,2
2,0,0,6,0,0,Emerald,3
2,2,3,0,0,2,Emerald,1
2,3,0,2,3,0,Emerald,1
2,4,2,0,0,1,Emerald,2
2,0,5,3,0,0,Emerald,2
2,0,0,0,0,5,Ruby,2
2,0,0,0,6,0,Ruby,3
2,2,0,0,2,3,Ruby,1
2,1,4,2,0,0,Ruby,2
2,0,3,0,2,3,Ruby,1
2,3,0,0,0,5,Ruby,2
2,5,0,0,0,0,Sapphire,2
2,0,0,0,0,6,Sapphire,3
2,3,2,2,0,0,Sapphire,1
2,0,1,4,2,0,Sapphire,2
2,3,0,3,0,2,Sapphire,1
2,0,0,5,3,0,Sapphire,2
3,0,0,0,0,7,Diamond,4
3,3,0,0,0,7,Diamond,5
3,3,0,0,3,6,Diamond,4
3,0,3,3,5,3,Diamond,3
3,7,0,0,0,0,Onyx,4
3,7,3,0,0,0,Onyx,5
3,6,3,0,0,3,Onyx,4
3,3,0,3,3,5,Onyx,3
3,0,7,0,0,0,Emerald,4
3,0,7,3,0,0,Emerald,5
3,3,6,3,0,0,Emerald,4
3,5,3,0,3,3,Emerald,3
3,0,0,7,0,0,Ruby,4
3,0,0,7,3,0,Ruby,5
3,0,3,6,3,0,Ruby,4
3,3,5,3,0,3,Ruby,3
3,0,0,0,7,0,Sapphire,4
3,0,0,0,7,3,Sapphire,5
3,0,0,3,6,3,Sapphire,4
3,3,3,5,3,0,Sapphire,3
